Source, Target
43643203,603025587
93288759,1339835893
62647472,1367531
36429836,7334402
36429836,2836421
36429836,89820928
2474342802,1126268988
47632905,26637348
253607208,603025587
715206841,15458694
21237679,49733381
1542484146,1339835893
3092455390,18382184
3901969113,1330457336
31544121,1339835893
619542494,2467791
750728409446092801,17410863
878704345,1339835893
16742951,1339835893
376409881,1061029050
17349533,20480549
17349533,1339835893
17349533,115979444
17349533,216776631
2358958994,89820928
2358958994,216776631
1859098416,29450962
1702563079,838667736
2762583461,1339835893
875022170,3292306583
875022170,2946745916
222695674,14293310
222695674,1330457336
24513419,1339835893
209879599,124896632
726740008271384576,216776631
1375629385,28528503
15012352,56752200
15012352,117839957
164723233,1339835893
823665176,3241338526
14629969,318688171
336081443,1345702333
336081443,1330457336
319103741,759251
1300604876,2836421
2342068372,25073877
97273575,3618882193
14205915,22523087
116308657,16129920
754810715438014464,13850422
1375629385,28528503
5770122,1339835893
2854325390,1339835893
2854325390,1330457336
705158634058162177,14377605
705158634058162177,1339835893
705158634058162177,702147673651027968
705158634058162177,1536791610
28612296,1536791610
32508338,45504667
3741114012,216776631
3741114012,29442313
3741114012,111216929
1313812992,25073877
189942678,172491865
189942678,131877198
189942678,2836941830
15295595,1339835893
913142450,50669520
47803362,34800215
44437412,2836421
44437412,115733549
244145171,14943778
62083884,217139104
83944053,25073877
2502233611,8370082
75320258,208179565
30406015,2863488598
16043205,12612432
225263992,1064206014
225263992,4970411
222959095,757662592097673216
222959095,14294848
1979149028,2916305152
17494155,865661286
16134203,25073877
2624540405,14590764
2624540405,80944550
41595816,14377605
41595816,2836421
746028042372288512,216776631
56327555,25073877
24774101,1330457336
24774101,25073877
79881093,16129920
448452218,815537202
36840597,8370082
36840597,1339835893
985474284,15727317
985474284,15458694
1460746536,1339835893
131863936,1339835893
26596247,1330457336
526637017,1339835893
39070036,1339835893
48634540,402957663
48634540,17011177
3152525286,78408666
985507718,7702542
14808307,1339835893
54655771,702725764706226176
537370665,358545917
3021436459,14377605
24302612,1339835893
328206816,25073877
3346194827,1330457336
3346194827,1339835893
18025831,1339835893
41038901,4815348508
23375172,702725764706226176
181086076,50325797
181086076,2836421
175803038,1339835893
62594641,25073877
2419141182,1633711453
140136677,2836421
24327435,5931862
44561217,1330457336
166016817,15808765
787623139,369801757
2707981306,815537202
28442989,1093090866
14753368,726857588168638467
3389770233,95713333
3389770233,31464977
491264209,1339835893
39110202,25073877
240763542,603025587
70298701,813286
70298701,30313925
944997036,267719395
27657060,15808765
22857056,15808765
463442831,16019697
122184051,15808765
187059363,69773058
187059363,18678924
187059363,1464560094
187059363,19211550
99532356,22677427
29676921,19738093
2798574247,172858784
311241090,457984599
187059363,1917731
187059363,2288462990
187059363,3914047581
24774101,462104542
748911394121084928,16129920
16823305,216776631
1119760256,14377605
299994518,284665347
254324315,1339835893
245571881,331206195
4675585466,20196258
18356924,7257012
85380533,15808765
11277872,108344601
1489335859,97083470
345548735,18064237
17754038,17754038
32253172,1330457336
577619614,25073877
26310392,1339835893
114776155,33537967
24408224,1339835893
2170786369,1339835893
2170786369,115979444
187059363,469194846
187059363,3413187563
29099893,14377605
23055057,529663026
23055057,111433997
23055057,172858784
23055057,939091
23055057,813286
701864743070355456,14377605
187059363,196168350
187059363,3420965393
32250273,193365375
32250273,375080967
32250273,2467720274
453704729,15387839
477037124,2836421
477037124,759251
477037124,1367531
477037124,1339835893
2342068372,1339835893
187059363,3389073989
187059363,3302017177
187059363,16589206
149504801,29442313
149504801,21104432
126333419,14377605
3036903794,2836421
1134531883,15808765
151197820,409486555
40955185,1339835893
110536434,1330457336
110536434,1339835893
872181900,1339835893
3086975121,1339835893
3086975121,25073877
338131615,112047805
122483304,1339835893
18762062,1339835893
391785748,17525171
27148337,15675138
600485426,35094637
48455634,41410702
345548735,16249394
274402062,216776631
274402062,23022687
1556786912,14377605
38970316,4926130955
581344206,14377605
2913370650,14377605
189942678,17134268
189942678,21111896
189942678,46176168
189942678,97739866
189942678,172491865
189942678,131877198
490595760,349217161
3318281953,89820928
3318281953,16129920
16027841,9300262
1556786912,216776631
286618879,27658830
286618879,9567972
286618879,759251
286618879,42864649
286618879,15416505
286618879,753647772948127744
286618879,170861207
22652588,52544275
70477603,759251
70477603,13850422
14554601,1614054846
219126810,19135516
219126810,21631041
2969225217,1160558521
1879748407,25073877
299970029,15078057
299970029,14194497
15834924,16545084
233358415,29442313
233358415,1339835893
269896205,18867844
20858892,216776631
20858892,25073877
206187552,33537967
206187552,603025587
16196638,1330457336
16196638,1339835893
452230336,25073877
24324366,26637348
15982252,16058854
15982252,375341326
1439277421,20776147
37565279,83932732
37565279,16373878
17153646,244655353
17153646,352548417
22730763,216776631
596749764,1339835893
45605080,815537202
45605080,409486555
19490385,14377605
19490385,216776631
179541338,6211972
432797602,2205290629
20466413,21447363
725839204337373184,1339835893
725839204337373184,725839204337373184
68234871,375721095
68234871,1059040274
64751761,1536791610
110791737,15808765
634867594,25073877
419135055,25073877
2913370650,19916171
468615061,468615061
781491312,15808765
9232922,1093090866
9232922,409486555
9232922,60919240
709889478,759251
709889478,428333
709889478,15224867
709889478,71294756
20612109,36649831
20612109,20612109
755019,14364006
430874049,1367531
430874049,14839147
430874049,29442313
27792169,1023096199
116588778,23868599
2874346049,8370082
72464499,1339835893
72464499,25073877
18173107,15808765
449825496,8370082
70477603,22956220
96070428,16129920
96070428,52544275
96070428,1339835893
14463995,22322730
17600254,759251
256705564,33537967
51442755,71323843
574915137,16031927
574915137,14173315
708428538,15808765
3396318255,69004966
3396318255,2836941830
195624776,110445334
125677319,1536791610
125677319,1339835893
148086041,288242365
15313156,188000721
1263264613,111216929
5885472,1339835893
1637260183,172858784
2900911649,1339835893
245571881,51192533
455864034,110538332
455864034,14955722
63265975,63265975
46937058,37774152
563329744,25073877
286618879,27658830
286618879,9567972
286618879,759251
286618879,42864649
286618879,15416505
286618879,753647772948127744
286618879,170861207
382726147,757901725684551680
335769474,2513881490
29868679,8370082
369108702,62513246
15169372,14377605
15169372,115979444
15169372,8370082
8909302,352570175
8909302,1339835893
54710888,15675138
49089273,25073877
2203825662,25073877
1869617594,28785486
133321140,33537967
93288759,29442313
93288759,1339835893
22690358,216776631
3152139296,1339835893
3152139296,1536791610
286618879,25073877
286618879,753647772948127744
286618879,15416505
286618879,281610530
15268490,8370082
15268490,68219213
318727401,17379685
838919971,25073877
551988601,75050644
35372757,216776631
1611294156,2510416296
2165639394,759251
149246104,603025587
174526877,1330457336
989775379,183403584
989775379,429227921
560997968,125346858
2301423577,216776631
2301423577,1339835893
263205777,19608273
263205777,22008787
756285096135684096,8370082
286618879,25073877
286618879,753647772948127744
286618879,15416505
286618879,281610530
9700152,813286
355470606,25073877
712707453281034240,16349648
712707453281034240,520602508
712707453281034240,3423969123
16977432,1339835893
16613236,216776631
37735561,1339835893
441338964,4769919026
441338964,19697415
25868609,1536791610
25868609,1093090866
45490102,21312077
45490102,84119348
2993791602,15675138
2350966291,72298145
2350966291,172367925
2350966291,1339835893
41949140,48029066
598735549,358556067
598735549,216776631
408816873,21312077
408816873,25017309
47673949,11134252
68749989,28172701
68749989,36491229
781491312,1339835893
781491312,33537967
85380533,77764733
355823359,603025587
22879254,172858784
326417985,531561605
1580268835,23480093
1580268835,22228637
1580268835,1339835893
24115060,1339835893
24408224,8370082
24408224,16589206
24408224,25073877
41949140,203226736
290135121,14377605
164114128,25073877
38218247,813286
38218247,1536791610
46745463,1330457336
505413456,1339835893
75077990,1339835893
75077990,1330457336
28496884,8370082
80077812,25073877
745425522,1339835893
46970523,33530012
46970523,1339835893
20688022,1339835893
31184208,19397785
31184208,1339835893
31184208,3145289546
22855302,116319448
22855302,29442313
16362566,1093090866
53712478,483657883
1403205553,90021519
7036002,16589206
2897415180,838667736
3951717520,77764733
1924414555,2303751216
21827008,111216929
189496721,1536791610
15279130,146290486
2494211736,537904539
2494211736,282695161
2494211736,347627434
2494211736,31288110
2494211736,3092625141
2494211736,3270559782
3202808548,2836421
3202808548,15985455
448628409,216776631
4739222835,14377605
4739222835,1339835893
28358250,18891902
75203141,18850232
147248694,1917731
147248694,759251
147248694,2836421
147248694,216776631
147248694,1339835893
147248694,25073877
450256953,29442313
36134064,16935292
709889478,15771003
18363392,25073877
16227643,1339835893
16227643,603025587
549579841,20100423
544411686,720627618672848896
1364864402,58520492
330057298,380285402
328206816,25073877
270634060,228794007
312337887,17995040
312337887,150281740
35702731,2400284491
147248694,1339835893
147248694,56413858
147248694,26487169
449825496,8370082
449825496,1071777608
555707454,344297228
